# x	ntot	nice
28	2487.548023	2486.590804
29	2487.591793	2486.670063
30	2487.645879	2486.759513
31	2487.710047	2486.848456
32	2487.780327	2486.92044
33	2487.849438	2486.9652
34	2487.91093	2486.986814
35	2487.962252	2486.995891
36	2488.003946	2487.000408
37	2488.037694	2487.004101
38	2488.065228	2487.00817
39	2488.087977	2487.012789
40	2488.107039	2487.017824
41	2488.123237	2487.023098
42	2488.137189	2487.028468
43	2488.14936	2487.033831
44	2488.160104	2487.039125
45	2488.169695	2487.044317
46	2488.178348	2487.04939
47	2488.186233	2487.054345
48	2488.193487	2487.05919
49	2488.200222	2487.063937
50	2488.206533	2487.068607
51	2488.212497	2487.07322
52	2488.218183	2487.0778
53	2488.223651	2487.082373
54	2488.228955	2487.08697
55	2488.234147	2487.091621
56	2488.239274	2487.096363
57	2488.244385	2487.101237
58	2488.249528	2487.106292
59	2488.254756	2487.111584
60	2488.260128	2487.117183
61	2488.265711	2487.123173
62	2488.271583	2487.129664
63	2488.277841	2487.136794
64	2488.284607	2487.144749
65	2488.29204	2487.15378
66	2488.300352	2487.164238
67	2488.309838	2487.176628
68	2488.320917	2487.191702
69	2488.334218	2487.210629
70	2488.350712	2487.235311
71	2488.371997	2487.269006
72	2488.400851	2487.317637
73	2488.442464	2487.392508
74	2488.507174	2487.514766
75	2488.61447	2487.708812
76	2488.774298	2487.913288
77	2488.924067	2487.989321
78	2489.018833	2488.001983
79	2489.076868	2488.010429
80	2489.115208	2488.020423
81	2489.142446	2488.03075
82	2489.162993	2488.040674
83	2489.179273	2488.049977
84	2489.192715	2488.058677
85	2489.204215	2488.066878
86	2489.214366	2488.074714
87	2489.223588	2488.082326
88	2489.232192	2488.089856
89	2489.240427	2488.097454
90	2489.248512	2488.105286
91	2489.256652	2488.113545
92	2489.265064	2488.122476
93	2489.274001	2488.1324
94	2489.283783	2488.143776
95	2489.294849	2488.157287
96	2489.307849	2488.174014
97	2489.323815	2488.195792
98	2489.344514	2488.225969
99	2489.373253	2488.271242
100	2489.416928	2488.346443
101	2489.492014	2488.486713
102	2489.639256	2488.747671
103	2489.861771	2488.968554
104	2490.010402	2489.001113
105	2490.086191	2489.012508
106	2490.130601	2489.025943
107	2490.16001	2489.039147
108	2490.18136	2489.051289
109	2490.198016	2489.062383
110	2490.211798	2489.072688
111	2490.223794	2489.082508
112	2490.234718	2489.092151
113	2490.245095	2489.101936
114	2490.255367	2489.112221
115	2490.265963	2489.123459
116	2490.277381	2489.136279
117	2490.290281	2489.151641
118	2490.305662	2489.171159
119	2490.325215	2489.197812
120	2490.352151	2489.237744
121	2490.393429	2489.305433
122	2490.467092	2489.440058
123	2490.628762	2489.730302
124	2490.89337	2489.980105
125	2491.043697	2490.005011
126	2491.11344	2490.019984
127	2491.153549	2490.035952
128	2491.180203	2490.050595
129	2491.199898	2490.063743
130	2491.215714	2490.075814
131	2491.22933	2490.087317
132	2491.241797	2490.098765
133	2491.253892	2490.110713
134	2491.266315	2490.123849
135	2491.279856	2490.139163
136	2491.295615	2490.158279
137	2491.315404	2490.18422
138	2491.342712	2490.223431
139	2491.385442	2490.292055
140	2491.465991	2490.438599
141	2491.66435	2490.782637
142	2491.952434	2490.993848
143	2492.079828	2491.011233
144	2492.13872	2491.029312
145	2492.173439	2491.046574
146	2492.197255	2491.061874
147	2492.215548	2491.07569
148	2492.230942	2491.088754
149	2492.244964	2491.101818
150	2492.258718	2491.115716
151	2492.27324	2491.131559
152	2492.289828	2491.151112
153	2492.310556	2491.177699
154	2492.339491	2491.21869
155	2492.38636	2491.293902
156	2492.482182	2491.469653
157	2492.743758	2491.879719
158	2493.014108	2492.00143
159	2493.112404	2492.019796
160	2493.160775	2492.039656
161	2493.190681	2492.057372
162	2493.212213	2492.073044
163	2493.229651	2492.087614
164	2493.245243	2492.102094
165	2493.26051	2492.117613
166	2493.276874	2492.135718
167	2493.296209	2492.159061
168	2493.321825	2492.193184
169	2493.361151	2492.252342
170	2493.436091	2492.383598
171	2493.646764	2492.755077
172	2493.983982	2492.997987
173	2494.106495	2493.01808
174	2494.160692	2493.039652
175	2494.192817	2493.058833
176	2494.215551	2493.075711
177	2494.233978	2493.0915
178	2494.250727	2493.107521
179	2494.267667	2493.125351
180	2494.286777	2493.147425
181	2494.311156	2493.178569
182	2494.34741	2493.230892
183	2494.414382	2493.344168
184	2494.602384	2493.684026
185	2494.973479	2493.996572
186	2495.108504	2494.018753
187	2495.164603	2494.041746
188	2495.197335	2494.061979
189	2495.220545	2494.079809
190	2495.239669	2494.096771
191	2495.257598	2494.114561
192	2495.276613	2494.135436
193	2495.299615	2494.163434
194	2495.332161	2494.208102
195	2495.389031	2494.299432
196	2495.536543	2494.568824
197	2495.932822	2494.989512
198	2496.101839	2495.016893
199	2496.163764	2495.041336
200	2496.198565	2495.062866
201	2496.222889	2495.081786
202	2496.243001	2495.099943
203	2496.262224	2495.119456
204	2496.283385	2495.143379
205	2496.310589	2495.177875
206	2496.353004	2495.239862
207	2496.441476	2495.394825
208	2496.757758	2495.891667
209	2497.063813	2496.008164
210	2497.148901	2496.03404
